DATA;ANO;MÊS;MUNICÍPIO;PONTO;COLIFORMES;CLASSE
14/10/10;2010;OUT;PA;PA04;2;E
21/10/10;2010;OUT;PA;PA04;5;E
28/10/10;2010;OUT;PA;PA04;2;E
04/11/10;2010;NOV;PA;PA04;13;E
11/11/10;2010;NOV;PA;PA04;2;E
18/11/10;2010;NOV;PA;PA04;5;E
25/11/10;2010;NOV;PA;PA04;5;E
02/12/10;2010;DEZ;PA;PA04;2;E
09/12/10;2010;DEZ;PA;PA04;220;E
30/12/10;2010;DEZ;PA;PA04;2;E
07/01/10;2010;JAN;PA;PA05;3500;I
14/01/10;2010;JAN;PA;PA05;5400;I
21/01/10;2010;JAN;PA;PA05;2200;I
28/01/10;2010;JAN;PA;PA05;2400;I
04/02/10;2010;FEV;PA;PA05;350;I
11/02/10;2010;FEV;PA;PA05;9200;I
18/02/10;2010;FEV;PA;PA05;9200;I
25/02/10;2010;FEV;PA;PA05;1700;I
04/03/10;2010;MAR;PA;PA05;2400;I
11/03/10;2010;MAR;PA;PA05;2400;I
18/03/10;2010;MAR;PA;PA05;2400;I
25/03/10;2010;MAR;PA;PA05;1600;I
31/03/10;2010;MAR;PA;PA05;2400;I
15/04/10;2010;ABR;PA;PA05;2400;I
22/04/10;2010;ABR;PA;PA05;540;I
29/04/10;2010;ABR;PA;PA05;1300;I
06/05/10;2010;MAI;PA;PA05;16000;I
13/05/10;2010;MAI;PA;PA05;1700;I
20/05/10;2010;MAI;PA;PA05;920;I
27/05/10;2010;MAI;PA;PA05;2400;I
02/06/10;2010;JUN;PA;PA05;46;I
10/06/10;2010;JUN;PA;PA05;540;I
17/06/10;2010;JUN;PA;PA05;540;S
24/06/10;2010;JUN;PA;PA05;1700;I
01/07/10;2010;JUL;PA;PA05;220;S
08/07/10;2010;JUL;PA;PA05;170;S
15/07/10;2010;JUL;PA;PA05;1600;I
29/07/10;2010;JUL;PA;PA05;220;I
05/08/10;2010;AGO;PA;PA05;350;I
12/08/10;2010;AGO;PA;PA05;350;I
19/08/10;2010;AGO;PA;PA05;350;B
26/08/10;2010;AGO;PA;PA05;46;B
02/09/10;2010;SET;PA;PA05;350;B
09/09/10;2010;SET;PA;PA05;350;B
16/09/10;2010;SET;PA;PA05;13;B
23/09/10;2010;SET;PA;PA05;49;B
30/09/10;2010;SET;PA;PA05;540;B
07/10/10;2010;OUT;PA;PA05;94;B
14/10/10;2010;OUT;PA;PA05;170;E
21/10/10;2010;OUT;PA;PA05;49;E
28/10/10;2010;OUT;PA;PA05;2;E
04/11/10;2010;NOV;PA;PA05;33;E
11/11/10;2010;NOV;PA;PA05;2;E
18/11/10;2010;NOV;PA;PA05;14;E
25/11/10;2010;NOV;PA;PA05;2;E
02/12/10;2010;DEZ;PA;PA05;13;E
09/12/10;2010;DEZ;PA;PA05;920;E
30/12/10;2010;DEZ;PA;PA05;170;E
07/01/10;2010;JAN;NA;NA01;33;E
14/01/10;2010;JAN;NA;NA01;49;E
21/01/10;2010;JAN;NA;NA01;2;E
28/01/10;2010;JAN;NA;NA01;350;E
04/02/10;2010;FEV;NA;NA01;23;E
11/02/10;2010;FEV;NA;NA01;240;E
18/02/10;2010;FEV;NA;NA01;11;E
25/02/10;2010;FEV;NA;NA01;240;E
04/03/10;2010;MAR;NA;NA01;1600;E
11/03/10;2010;MAR;NA;NA01;16000;I
18/03/10;2010;MAR;NA;NA01;540;I
25/03/10;2010;MAR;NA;NA01;21;I
31/03/10;2010;MAR;NA;NA01;540;I
08/04/10;2010;ABR;NA;NA01;920;S
15/04/10;2010;ABR;NA;NA01;130;S
22/04/10;2010;ABR;NA;NA01;3500;I
29/04/10;2010;ABR;NA;NA01;11;S
06/05/10;2010;MAI;NA;NA01;23;S
13/05/10;2010;MAI;NA;NA01;350;B
20/05/10;2010;MAI;NA;NA01;17;B
27/05/10;2010;MAI;NA;NA01;22;E
02/06/10;2010;JUN;NA;NA01;350;B
10/06/10;2010;JUN;NA;NA01;230;B
17/06/10;2010;JUN;NA;NA01;3500;I
24/06/10;2010;JUN;NA;NA01;130;B
01/07/10;2010;JUL;NA;NA01;70;B
08/07/10;2010;JUL;NA;NA01;540;S
15/07/10;2010;JUL;NA;NA01;46;S
22/07/10;2010;JUL;NA;NA01;3500;I
29/07/10;2010;JUL;NA;NA01;5;S
05/08/10;2010;AGO;NA;NA01;7;S
12/08/10;2010;AGO;NA;NA01;11;E
19/08/10;2010;AGO;NA;NA01;31;E
26/08/10;2010;AGO;NA;NA01;5;E
02/09/10;2010;SET;NA;NA01;220;E
09/09/10;2010;SET;NA;NA01;17;E
16/09/10;2010;SET;NA;NA01;23;E
23/09/10;2010;SET;NA;NA01;5;E
30/09/10;2010;SET;NA;NA01;13;E
07/10/10;2010;OUT;NA;NA01;8;E
14/10/10;2010;OUT;NA;NA01;13;E
21/10/10;2010;OUT;NA;NA01;8;E
28/10/10;2010;OUT;NA;NA01;17;E
04/11/10;2010;NOV;NA;NA01;33;E
11/11/10;2010;NOV;NA;NA01;2;E
18/11/10;2010;NOV;NA;NA01;23;E
25/11/10;2010;NOV;NA;NA01;8;E
02/12/10;2010;DEZ;NA;NA01;13;E
